初期値データ, 得意先コード１, 得意先コード２, 状態, 得意先名1, 得意先名2, 得意先名(フリガナ)1, 得意先名(フリガナ)2, 略称, 郵便番号１, 郵便番号２, 住所１, 住所２, 住所(フリガナ), 地区, TEL, FAX, 代表者氏名, ご担当者１, ご担当者２, ご担当者３, 窓口ご担当, キーマン, 営業時間(午前開始時間), 営業時間(午前開始時間), 営業時間(午前終了時間), 営業時間(午前終了時間), 営業時間(午後後開始時間), 営業時間(午後開始時間), 営業時間(午後終了時間), 営業時間(午後終了時間), 休日, 業種, 業態, 請求先コード１, 請求先コード２, 請求先名, 紹介口座先コード, 紹介口座先名, 契約担当１, 契約担当２, 回収条件, 与信限度,資本金, 取引区分, 締日, 集金日(月) , 集金日(日), 集金方法, 振込銀行, 振込名義, 口座名義, 契約年月日(年), 契約年月日(月), 契約年月日(日), 契約終了日(年), 契約終了日(月), 契約終了日(日), 契約期間, 契約更新日(年), 契約更新日(月), 契約更新日(日), 伝票発行, 納品書コメント, 請求書発行, 丸め, 消費税(課税単位), 消費税(端数区分), 設備情報等・その他, Email, URL, 代表者携帯, 直通TEL, 業態, 施設, 創業日(年), 創業日(月), 創業日(日), 取引履歴, 重要事項, お振込先口座名, 銀行/支店名, 口座番号, 巡回開始日(年), 巡回開始日(月), 巡回開始日(日), 納品書コメント(効果), 請求書送付(郵送), 経理会計窓口, 略称(フリガナ), 代表者役職, 振込銀行, 住所３, 親会社名, 親会社TEL, 親会社住所, 得意先名2, 得意先名2(フリガナ), ご担当者役職１, ご担当者役職２, ご担当者役職３, ご担当者備考, ご担当者備考, 請求書コメント, 得意先１伝票印字, 得意先２伝票印字, 親会社代表者氏名, 代行フラグ,伝票発行パターン,請求書発効パターン,担当支店,課税区分,請求先２コード１,請求先２コード２,請求先２名,口座ID ,紹介口座先CD2
,437,,取引中,洛南タイムス社,,ﾗｸﾅﾝﾀｲﾑｽ,,洛南タイムス,611,21,宇治市宇治壱番26番地                  ,c,,京都市外,0774-22-4109,,,,,,,,,,,,,,,,,その他,,437,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,440,,取引中,大阪ガスＬＰＧ 株式会社　京滋支社,,ｵｵｻｶｶﾞｽｴﾙﾋﾟｰｼﾞｰ ｹｲｼﾞｼｼｬ,,大阪ｶﾞｽLPG㈱,611,41,宇治市槙島町中川原127番地            ,①,,京都市外,0774-21-2145,0774-20-3313,高田 大三,,,,,,,,,,,,,,,その他,,440,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,442,,取引中,株式会社 日興染織,,ﾆｯｺｳｾﾝｼｮｸ,,㈱日興染織,610,102,城陽市久世荒内113                    ,,,京都市外,0774-54-1100,0774-45-1103,,,,,,,,,,,,,,,,その他,,442,,,,,,,,,,掛売上,20日,翌月,10日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,445,,取引中,株式会社 浜田染工,,ﾊﾏﾀﾞｾﾝｺｳ,,㈱浜田染工,610,101,城陽市平川小字広田86-12          ,,,京都市外,0774-54-3114,0774-54-3191,,,,,,,,,,,,,,,,その他,,445,,,,,,,,,,掛売上,20日,翌月,20日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,447,,取引中,株式会社 一保堂茶舗,,ｲｯﾎﾟﾄﾞｳﾁｬﾎｶﾌﾞｶﾌ,,㈱一保堂茶舗,604,915,京都市中京区寺町通二条上ﾙ常盤木町,,,京都市内,075-211-3429,075-241-0153,,,,,,,,,,,,,,,,その他,,447,,,,,,,,,,掛売上,末日,翌月,15日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,449,,取引中,浩綾繊維 株式会社,,ｺｳﾘｮｳｾﾝｲ,,浩綾繊維㈱,610,101,城陽市平川広田91                      ,c,,京都市外,07745-4-0776,,,,,,,,,,,,,,,,,その他,,449,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,450,,取引中,株式会社 フ タ バ,,ﾌﾀﾊﾞ,,㈱フタバ,610,101,城陽市平川小字広田74-3              ,c,,京都市外,07745-3-2300,,,,,,,,,,,,,,,,,その他,,450,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,451,,解約,株式会社 丸 徳×,,ﾏﾙﾄｸ                                 ,,㈱丸徳×,610,101,城陽市平川字西六反34-1              ,×,,京都市外,077-453-8111,077-455-2326,,,,,,,,,,,,,,,,その他,,451,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,456,,取引中,株式会社 アサヒ 関西営業所,,ｱｻﾋｶﾝｻｲｴｲｷﾞｮｳｼｮ,,㈱アサヒ関西       r,611,41,宇治市槙島町石橋７番地                  ,r,,京都市外,0774-23-2114,,,,,,,,,,,,,,,,,その他,,456,,,,,,,,,,掛売上,15日,翌月,10日,訪問集金,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,457,,取引中,株式会社 ムラタ製作所,,ﾑﾗﾀｾｲｻｸｼｮ,,㈱ムラタ製作所,612,8381,京都市伏見区下鳥羽葭田町121     ,,,京都市内,075-621-4411,075-622-2274,村田　威,,,,,,,,,,,,,,,その他,,457,,,,,,,,,,掛売上,末日,翌月,25日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,458,,取引中,株式会社 前田房製作所,,ﾏｴﾀﾞﾌｻｾｲｻｸｼｮ,,㈱前田房製作所,604,995,京都府京都市中京区下御霊前町656      ,,,京都市内,075-231-2906,075-231-2929,,,,,,,,,,,,,,,,その他,,458,,,,,,,,,,掛売上,15日,翌月,10日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,459,0,取引中,京栄ステンレス工業 株式会社,,ｷｮｳｴｲｽﾃﾝﾚｽｺｳｷﾞｮｳ,,京栄ｽﾃﾝﾚｽ工業㈱    s,613,34,京都府久世郡久御山町佐山新開地246番地,s,,京都市外,0774-43-4828,,早田雄一,,,,,,,,,,,,,,,その他,,459,0,,,,,,,,,掛売上,20日,翌月,15日,訪問集金,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,459,1,取引中,京栄ステンレス工業 株式会社,第二工場,ｷｮｳｴｲｽﾃﾝﾚｽｺｳｷﾞｮｳ,,京栄ｽﾃﾝﾚｽ工業㈱    s,613,34,京都府久世郡久御山町佐山新開地246番地,s,,京都市外,0774-43-4828,,早田雄一,,,,,,,,,,,,,,,その他,,459,0,,,,,,,,,掛売上,20日,翌月,15日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,460,,取引中,株式会社 新 生 工 業,,ｼﾝｾｲｺｳｷﾞｮｳ,,㈱新生工業    　,613,34,京都府久世郡久御山町佐山新開地221-1,                                        ,,京都市外,0774-44-3289,0774-44-6215,,,,,,,,,,,,,,,,その他,,460,,,,,,,,,,掛売上,末日,翌月,末日,訪問集金,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,461,,取引中,株式会社 Ｄ Ｇ 工 業,,ﾃﾞｨｰｼﾞｰｺｳｷﾞｮｳ,,㈱ＤＧ工業,613,34,京都府久世郡久御山町佐山新開地223    ,c,,京都市外,0774-44-8833,,,,,,,,,,,,,,,,,その他,,461,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,465,,取引中,株式会社 成田製作所,,ﾅﾘﾀｾｲｻｸｼｮ,,㈱成田製作所     **s,613,35,京都府久世郡久御山町下津屋富城 91番地 ,s,,京都市外,0774-43-5811,0774-44-1103,,,,,,,,,,,,,,,,その他,,465,,,,,,,,,,掛売上,末日,翌月,末日,訪問集金,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,466,,取引中,株式会社 中村鉄工所,,ﾅｶﾑﾗﾃｯｺｳｼｮ,,㈱中村鉄工所,613,36,京都府久世郡久御山町田井新荒見166番地,,,京都市外,0774-43-8320,,,,,,,,,,,,,,,,,その他,,466,,,,,,,,,,掛売上,20日,翌月,10日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,467,,取引中,石川　均,,ｲｼｶﾜ ﾋﾄｼ,,石川　均,616,16,京都府京都市西京区嵐山上海道町62-1,c,,京都市内,075-871-7234,,,,,,,,,,,,,,,,,その他,,467,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,475,,取引中,きねや菓舖,,ｷﾈﾔｶﾎ,,きねや菓舖,611,42,宇治市小倉町西浦88番地                ,c,,京都市外,0774-22-5924,,,,,,,,,,,,,,,,,その他,,475,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,481,,解約,有限会社 浅井製作所,,ｱｻｲｾｲｻｸｼｮ,,㈲浅井製作所,613,35,京都府久世郡久御山町下津屋富ノ城59-4,                                        ,,京都市外,0774-43-1650,0774-43-4998,,,,,,,,,,,,,,,,その他,,481,,,,,,,,,                                        ,掛売上,20日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,490,,取引中,クールメード工業 株式会社,,ｸｰﾙﾒｰﾄﾞｺｳｷﾞｮｳ,,ｸｰﾙﾒｰﾄﾞ㈱,615－0806,806,京都市右京区西京極畔勝町43番地        ,c,,京都市内,075-313-0225,,,,,,,,,,,,,,,,,その他,,490,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,530,2,取引中,株式会社 ニッサンキコー 宇治工場,,ﾆｯｻﾝｷｺｰｳｼﾞｺｳｼﾞｮｳ,,㈱ﾆｯｻﾝｷｺｰ宇治,611,41,宇治市槙島町吹前 107                 ,                                        ,,京都市外,0774-22-1115,,,,,,,,,,,,,,,,,その他,,530,0,,,,,,,,                                        ,掛売上,20日,翌月,20日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,497,0,取引中,ニューリー 株式会社,本社　(次回は　　月　　日です),ﾆｭｰﾘｰ,,ニューリー㈱,613,31,京都府久世郡久御山町佐古外屋敷125番地,,,京都市外,0774-43-3011,0774-44-9288,,,,,,,,,,,,,,,,その他,,497,0,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,497,1,取引中,ニューリー 株式会社,第三工場　(次回は　　月　　日です),ﾆｭｰﾘｰ,,ニューリー㈱,613,31,京都府久世郡久御山町佐古外屋敷125番地,,,京都市外,0774-43-3011,0774-44-9288,,,,,,,,,,,,,,,,その他,,497,0,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,499,,取引中,株式会社 エンプラ,,ｴﾝﾌﾟﾗ,,㈱エンプラ,613,34,京都府久世郡久御山町佐山新開地327番地,c,,京都市外,0774-44-0749,,,,,,,,,,,,,,,,,その他,,499,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,500,,解約,久御山町役場 総務課　×,,ｸﾐﾔﾏﾁｮｳﾔｸﾊﾞｿｳﾑｶ,,久御山町役場×,613,36,京都府久世郡久御山町大字田井小字浜代1-2,×,,京都市外,075-631-6111,075-632-1899,,,,,,,,,,,,,,,,その他,,500,,,,,,,,,,掛売上,末日,翌月,15日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,505,,取引中,大同硝子興業 株式会社 京都ﾌﾟﾗｽﾁｯｸ工場,,ﾀﾞｲﾄﾞｳｶﾞﾗｽｺｳｷﾞｮｳｷｮｳﾄﾌﾟﾗｽﾁｯｸｺｳｼﾞｮｳ,,大同硝子興業㈱,613,34,京都府久世郡久御山町佐山中道26番地    ,,,京都市外,0774-44-9173,0774-43-26,,,,,,,,,,,,,,,,その他,,505,,,,,,,,,,掛売上,20日,翌月,20日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,507,,取引中,環境計測 株式会社,,ｶﾝｷｮｳｹｲｿｸ,,環境計測㈱,612,8427,京都市伏見区竹田真幡木町28番地        ,,,京都市内,075-643-0341,075-644-0645,,,,,,,,,,,,,,,,その他,,507,,,,,,,,,,掛売上,末日,2ヶ月後,10日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,509,,取引中,株式会社 SCREEN ホールディングス,,ｽｸﾘｰﾝﾎｰﾙﾃﾞｨﾝｸﾞｽ,,㈱SCREEN,602,8585,京都市上京区堀川寺之内上ル四丁目        ,天神北町１番地の１　　　　F,,京都市内,075-414-7115,075-451-9603,,,,,,,,,,,,,,,,その他,,509,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,510,,解約,株式会社 写真化学　×,,ｼｬｼﾝｶｶﾞｸ,,㈱写真化学×,613,35,京都府久世郡久御山町大字下津屋小字富ノ城63-3,　　　×,,京都市外,0774-44-7681,,,,,,,,,,,,,,,,,その他,,510,,,,,,,,,,掛売上,25日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,511,0,取引中,株式会社 SCREEN ビジネスサポートソリューションズ,久御山工場,ｽｸﾘｰﾝﾋﾞｼﾞﾈｽｻﾎﾟｰﾄｿﾘｭｰｼｮﾝｽﾞ,,㈱SCREEN,613,34,京都府久世郡久御山町佐山新開地304-1,,,京都市外,0774-46-7900,0774-43-1367,,,,,,,,,,,,,,,,その他,,511,0,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,511,1,取引中,株式会社 SCREEN ビジネスサポートソリューションズ,久御山工場,ｽｸﾘｰﾝﾋﾞｼﾞﾈｽｻﾎﾟｰﾄｿﾘｭｰｼｮﾝｽﾞ,,㈱SCREEN,613,34,京都府久世郡久御山町佐山新開地304-1,,,京都市外,0774-46-7900,0774-43-1367,,,,,,,,,,,,,,,,その他,,511,0,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,511,2,取引中,株式会社 SCREEN ビジネスサポートソリューションズ,東工場,ｽｸﾘｰﾝﾋﾞｼﾞﾈｽｻﾎﾟｰﾄｿﾘｭｰｼｮﾝｽﾞ,,㈱SCREEN,613,34,京都府久世郡久御山町佐山新開地304-1,,,京都市外,0774-46-7900,0774-43-1367,,,,,,,,,,,,,,,,その他,,511,0,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,512,,取引中,株式会社 日進工業,,ﾆｯｼﾝｺｳｷﾞｮｳ,,㈱日進工業         s,613,34,京都府久世郡久御山町佐山新開地50番地  ,s,,京都市外,0774-43-4345,0774-44-8692,辻　和宏,,,,,,,,,,,,,,,その他,,512,,,,,,,,,,掛売上,末日,翌月,25日,訪問集金,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,514,,取引中,エス･ケー・エスエンジニアリング㈱,,ｴｽｹｰｴｽｴﾝｼﾞﾆｱﾘﾝｸﾞ,,ｴｽｹｰｴｽｴﾝｼﾞﾆｱﾘﾝｸﾞ㈱,613,34,京都府久世郡久御山町佐山新開地59番地  ,,,京都市外,0774-44-0358,,,,,,,,,,,,,,,,,その他,,514,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,516,,取引中,株式会社 サンフレム,本社,ｻﾝﾌﾚﾑ,,㈱ｻﾝﾌﾚﾑ　　　s,611,33,宇治市大久保町西ノ端１番30  　　　,s,,京都市外,0774-41-3310,0774-41-3311,田中 靖生,,,,,,,,,,,,,,,その他,,516,,,,,,,,,,掛売上,20日,翌月,15日,訪問集金,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,517,,取引中,有限会社 菱村鉄工所,,ﾋｼﾑﾗﾃｯｺｳｼｮ,,菱村鉄工所,615,834,京都市右京区西京極殿田町9-3          ,c,,京都市内,075-311-4597,075-313-6642,,,,,,,,,,,,,,,,その他,,517,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,518,,取引中,南都工業 株式会社,,ﾅﾝﾄｺｳｷﾞｮｳ,,南都工業㈱         s,613,2,京都府久世郡久御山町市田新珠城20-1,s,,京都市外,0774-48-1258,0774-48-2356,,,,,,,,,,,,,,,,その他,,518,,,,,,,,,,掛売上,20日,翌月,15日,訪問集金,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,520,,取引中,キユーピータマゴ 株式会社 京都工場,,ｷｭｰﾋﾟｰﾀﾏｺﾞｷｮｳﾄｺｳｼﾞｮｳ,,ｷﾕﾋﾟｰﾀﾏｺﾞ㈱京都,613,36,京都府久世郡久御山町田井新荒見182-2     ,,,京都市外,0774-45-0251,,,,,,,,,,,,,,,,,その他,,520,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,523,,取引中,株式会社 ＧＳユアサ イノベーション,,ｼﾞｰｴｽﾕｱｻｲﾉﾍﾞｰｼｮﾝ,,GSﾕｱｻｲﾉﾍﾞｰｼｮﾝ,601,8207,京都市南区久世中久町700番地の1       ,,,京都市内,075-931-1151,075-931-6003,小山 佳伸,,,,,,,,,,,,,,,その他,,523,,,,,,,,,,掛売上,20日,翌月,10日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,528,,取引中,株式会社 寺本シャーリング,,ﾃﾗﾓﾄｼｬｰﾘﾝｸﾞ,,㈱寺本シャーリング,613,24,京都府久世郡久御山町大字森小字村東229,,,京都市外,075-631-0040,075-631-8501,,,,,,,,,,,,,,,,その他,,528,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,530,1,取引中,株式会社 ニッサンキコー　本社,,ﾆｯｻﾝｷｺｰ,,㈱ﾆｯｻﾝｷｺｰ本社,611,41,宇治市槙島町吹前107                  ,                                        ,,京都市外,0774-22-1115,,,,,,,,,,,,,,,,,その他,,530,0,,,,,,,,                                        ,掛売上,20日,翌月,20日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,530,0,取引中,株式会社 ニッサンキコー,,ﾆｯｻﾝｷｺｰ,,㈱ﾆｯｻﾝｷｺｰ本体,611,41,宇治市槙島町吹前107                 ,,,京都市外,0774-22-1115,0774-22-5250,,,,,,,,,,,,,,,,その他,,530,0,,,,,,,,,掛売上,20日,翌月,20日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,532,,取引中,岩田家具精工 株式会社,,ｲﾜﾀｶｸﾞｾｲｺｳ,,岩田家具精工㈱,617,4,向日市鶏冠井町清水2番地                ,,,京都市外,075-933-6111,,,,,,,,,,,,,,,,,その他,,532,,,,,,,,,,掛売上,20日,翌月,15日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,535,,取引中,たみあき企画,,ﾀﾐｱｷｷｶｸ,,たみあき企画,603,8838,京都市北区大宮田尻町80番地            ,シャンクレ－ル春日205       ｃ,,京都市内,075-493-3861,,,,,,,,,,,,,,,,,その他,,535,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,541,,取引中,株式会社 シゲクニ,,ｼｹﾞｸﾆ,,㈱シゲクニ,617,814,長岡京市今里舞塚12-7                ,c,,京都市外,075-951-6208,,,,,,,,,,,,,,,,,その他,,541,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,544,,取引中,株式会社 田中製作所,,ﾀﾅｶｾｲｻｸｼｮ,,㈱田中製作所,601,8213,京都市南区久世中久世町3丁目82  ,①,,京都市内,075-925-1155,075-925-1157,,,,,,,,,,,,,,,,その他,,544,,,,,,,,,,掛売上,末日,翌月,20日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,547,,取引中,株式会社 ハウジングステーション,,ﾊｳｼﾞﾝｸﾞｽﾃｰｼｮﾝ,,㈱ﾊｳｼﾞﾝｸﾞｽﾃｰｼｮﾝ,617,814,長岡京市今里北ノ町１４番地              ,,,京都市外,075-952-4500,,山下吉昭,,,,,,,,,,,,,,,その他,,547,,,,,,,,,,掛売上,20日,翌月,10日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,548,,取引中,鈴木刺繍 株式会社,,ｽｽﾞｷｼｼｭｳ,,鈴木刺繍㈱         s,615,65,京都市右京区西院日照町110番地        ,A　　s,,京都市内,075-316-2036,,鈴木克美,,,,,,,,,,,,,,,その他,,548,,,,,,,,,,掛売上,20日,翌月,5日,訪問集金,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,549,,取引中,鈴木刺繍 株式会社 社長宅,,ｽｽﾞｷｼｼｭｳｼｬﾁｮｳﾀｸ,,鈴木刺繍社長       s,615,65,京都市右京区西院日照町110番地        ,A-1　s,,京都市内,075-316-2036,,,,,,,,,,,,,,,,,その他,,549,,,,,,,,,,掛売上,20日,翌月,5日,訪問集金,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
